title,link,summary,published
Navy ship remains non-operational 15 months after acquisition,https://www.irishtimes.com/ireland/2025/06/26/navy-ship-remains-non-operational-15-months-after-acquisition/,"...the rest of the naval fleet, remains tied up in Haulbowline Naval Base in Cork.Military sources said there are not enough personnel available to put the Gobnait to sea. The vessel also requires the installation of further equipment to make it...","Thu, 26 Jun 2025 05:00:00 GMT"
"MP merger off the cards, but Lynas still looking offshore",https://www.mining-journal.com/miners/news-analysis/4515879/mp-merger-cards-lynas-looking-offshore,"...troubles despite the US Department of Defense having previously pledged US$288 million to support the project. ""Always...","Thu, 26 Jun 2025 03:22:31 GMT"
DEFENSE | UK Bolsters Nuclear Deterrence with F-35A Stealth Jet Acquisition,https://www.aeronewsjournal.com/2025/06/defense-uk-bolsters-nuclear-deterrence.html,"...announced a significant enhancement to its defense capabilities with the acquisition of 12 U.S.-made F-35A stealth fighter... The decision also aligns with broader defense commitments outlined in the UKs Strategic Defence Review, published on June...","Thu, 26 Jun 2025 03:10:00 GMT"
SAF Voices Concern Over ATF-DEA Merger in Letter to Attorney General,https://www.thetacticalwire.com/releases/9af51d86-e1d5-4de6-be69-cdcfed6eecc7,"...Constitution. SAF engages in aggressive legal action to ensure the principles of armed self-defense, personal liberty, and the ownership of arms are defended, secured, and restored. Through public education initiatives, SAF teaches the importance of...","Wed, 25 Jun 2025 22:35:37 GMT"
AeroVironment Stock Surges 21% After Strong Q4 Earnings And Strategic Acquisition,https://dronexl.co/2025/06/25/aerovironment-stock-surges-q4-earnings/,"This performance underscores the growing role of drones in defense and commercial applications.Financial Performance and ... the Switchblade, which are critical for military surveillance and precision strikes.The companys optimistic outlook for...","Wed, 25 Jun 2025 20:16:25 GMT"
Defence stock jumps 4% after Co announces 100% acquisition of UK-based defence firm for 3.42 Mil,https://www.htsyndication.com/trade-brains/article/defence-stock-jumps-4percent-after-co-announces-100percent-acquisition-of-uk-based-defence-firm-for-and-163;3.42-mil/91175627,"...acquisition of Spafax International Limited to expand its footprint in the UK and EU defense markets.With a market capitalization of Rs. 552.75 crores on Wednesday, the shares of Uravi Defence and Technology Limited jumped upto 4.1 percent, making...","Wed, 25 Jun 2025 19:44:14 GMT"
Pennsylvania American Water Completes Acquisition of Manwalamink Water and Sewer Company Systems,https://oilandgaspress.com/pennsylvania-american-water-completes-acquisition-of-manwalamink-water-and-sewer-company-systems-2/,"...to more than 14 million people with regulated operations in 14 states and on 18 military installations. American Waters 6,700 talented professionals leverage their significant expertise and the companys national size and scale to achieve...","Wed, 25 Jun 2025 19:38:51 GMT"
AppDirect Makes Another Energy Broker Acquisition,https://www.channelfutures.com/mergers-acquisitions/appdirect-makes-another-energy-broker-acquisition,"We are excited about this growth opportunity for us as a company and for our customers as a community.Energy TrendsThe recent military attacks among Israel, the U.S. and Iran have brought energy pricing volatility to the fore, as crude oil...","Wed, 25 Jun 2025 18:29:56 GMT"
