title,link,summary,published
Evolutionary Acquisition: Implementation Challenges for Defense Space Programs by...,https://shipping-data.com/content/evolutionary-acquisition-implementation-challenges-defense-space-programs,Recent comments,"Fri, 11 Sep 2026 05:20:36 GMT"
AEVEX Completes BlackSea Technologies Acquisition to Expand Multi-Domain Autonomy,https://www.unmannedsystemstechnology.com/2026/09/aevex-completes-blacksea-technologies-acquisition-to-expand-multi-domain-autonomy/,"Together, our teams represent one of the most capable and operationally relevant multidomain autonomous systems providers in the defense sector.Roger Wells, Chief Executive Officer of AEVEX, said, With demand for autonomous systems...","Fri, 11 Sep 2026 05:08:00 GMT"
"Immersive program arms DOD, builds acquisition professionals' innovation skills",https://www.jbsa.mil/News/News/Article/3841330/immersive-program-arms-dod-builds-acquisition-professionals-innovation-skills/,"...in collaboration between the Defense Innovation Unit and Defense Acquisition University are open through early ... transaction, or OT, authorities through DAU's Defense Acquisition Credentials program.Those authorities provide federal...","Fri, 11 Sep 2026 00:42:27 GMT"
2026 Saber Idiq | (simplified Acquisition Of Base Engineering Requirements),https://appalti.dgmarket.com/tenders/np-notice.do?keywords=&noticeId=114561039,"...Engineering Requirements)', 'Sol#': 'FA667026Q0015', 'Department/Ind.Agency': 'DEPT OF DEFENSE', 'CGAC': '057', 'Sub-Tier': 'DEPT OF THE AIR FORCE', 'FPDS Code': '5700', 'Office': 'FA6670 914 AW LGC', 'AAC Code': 'FA6670', 'PostedDate'...","Thu, 10 Sep 2026 22:32:50 GMT"
Software acquisition must meet the speed of development,https://federalnewsnetwork.com/commentary/2026/09/software-acquisition-must-meet-the-speed-of-development/,"...more constraining, and thats the way the Defense Department acquires software.The Pentagons acquisition system is not ... rather than a foregone reality.Finally, defense agencies should think in terms of portfolios rather than singular bets...","Thu, 10 Sep 2026 21:22:22 GMT"
"Copart to Acquire ACV, Expanding Position Across the Vehicle Remarketing Ecosystem",https://sacramento.newsnetmedia.com/story/430684/copart-to-acquire-acv-expanding-position-across-the-vehicle-remarketing-ecosystem/,"...transactions contemplated by the merger agreement may result in significant costs of defense, indemnification and liability.A further list and description of these and other risks, uncertainties, and factors that could cause actual results to...","Thu, 10 Sep 2026 21:07:10 GMT"
Modern Wealth Management Expands Florida Footprint with $710 Million Jacksonville Acquisition,https://collectivescape.blogspot.com/2026/09/modern-wealth-management-jacksonville-sanchez-acquisition-2026.html,"Naval Air Station Jacksonville and Naval Station Mayport generate a steady stream of military retirees with pensions, Thrift Savings Plan accounts, and the particular planning needs that come with a career that included deployments and relocations...","Thu, 10 Sep 2026 17:59:57 GMT"
"Cerberus reshuffles portfolio with $1.6bn Tenet exit, 1.1bn U.K. acquisition",https://www.alternativeswatch.com/2026/09/10/cerberus-capital-tenet-equity-goodwin-engineering/,"...and services to aerospace and defense, nuclear, power, and mining customers. Their customers include the U.K., U.S., and Australian navies, and the businesses participate in the AUKUS defense program linking the three countries.The operations will...","Thu, 10 Sep 2026 01:04:00 GMT"
Brazil's Competition Authority approves B3 acquisition of 60% stake in CRDC with conditions,https://dig.watch/updates/brazil-approves-b3-acquisition-of-stake-in-crdc,"On 2 September 2026 the Tribunal of Brazils Administrative Council for Economic Defense (CADE) approved the acquisition of 60% of the capital of the Central de Registro de Direitos Creditorios (CRDC) by B3 SA (Brasil Bolsa Balcao), a Brazil-based...","Tue, 08 Sep 2026 23:20:39 GMT"
Hapag-Lloyd Secures 30-Day Extension to Revise Zim Acquisition Proposal,https://www.seanews.com.tr/article/hapag-lloyd-secures-30-day-extension-to-revise-zim-acquisition-proposal-mtw0hucv,"The reported opposition included the Ministry of Economy, the Ministry of Agriculture, the Ministry of Transport, and likely the Ministry of Defense, as well as the state's Shipping Authority. The concerns, as reported, centered on access to...","Thu, 10 Sep 2026 21:00:51 GMT"
